replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
23,0.0017523517043335005,0.0017349637600957007,0.0036076913569434016,0.00012037589251420039,0.005851971402882572,0.0,0.005851971402882572,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
24,0.0117314487503907,0.0001499814113598008,0.012015025869325707,0.000133595707575207,0.0783661790936303,0.0,0.0783661790936303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
25,0.013223599823201898,0.007669367738870503,0.022211752394386497,0.001318784832314096,0.058651217854299276,0.0,0.058651217854299276,0.0,0.0,80.0,80.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,False
26,0.009898907301823301,0.001261020698056392,0.011538069685537194,0.0003781416856575015,0.011080165076210013,0.0,0.011080165076210013,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,False
27,0.004328116951319801,0.0012074656639887993,0.0059124887476798005,0.0003769061323712006,0.028393400150746373,0.0,0.028393400150746373,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,False
28,0.009207000301354906,0.008590085545525206,0.0183606389354474,0.0005635530885672868,0.015722101804361177,0.0,0.015722101804361177,0.0,0.0,70.0,80.0,10.0,0.0,70.0,80.0,10.0,0.0,0.0,0.0,0.0,False
29,0.012930160273667085,0.011082964180077592,0.025472303886470593,0.0014591794327259155,0.06860213166853146,0.0,0.06860213166853146,0.0,10.0,90.0,100.0,0.0,10.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,False
30,0.007613789619560704,0.002247053731277898,0.010325996009457897,0.00046515265861929445,0.03931205809808597,0.0,0.03931205809808597,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,False
31,0.001752496384173595,4.453838209969585e-05,0.0019634152131019003,0.00016638044682860953,0.01495702198135962,0.0,0.01495702198135962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
32,0.011021654875446693,0.0002741862834866049,0.0115788288785479,0.00028298771961460245,0.014709074407275369,0.0,0.014709074407275369,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,False
