R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,replication,psi_prop,psi_rec
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.8,0.4,0.8,0.4,0,0.32000000000000006,0.32000000000000006
0.9270894557870369,0.07291054421296306,0.47350000000000003,0.5265,56.0,213.0,False,876.0,0.0,1.0,10,operational,0.8,0.4,0.8,0.4,0,0.32000000000000006,0.32000000000000006
0.9315793139834243,0.0684206860165757,0.4325000000000001,0.5674999999999999,44.0,223.0,False,876.0,0.0,1.0,01,operational,0.8,0.4,0.8,0.4,0,0.32000000000000006,0.32000000000000006
0.919972137390488,0.080027862609512,0.47350000000000003,0.5265,56.0,230.0,False,876.0,0.0,1.0,11,operational,0.8,0.4,0.8,0.4,0,0.32000000000000006,0.32000000000000006
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.8,0.6,0.8,0.6,0,0.48,0.48
0.921804721875,0.07819527812500005,0.5036875000000001,0.4963125,56.0,213.0,False,876.0,0.0,1.0,10,operational,0.8,0.6,0.8,0.6,0,0.48,0.48
0.9287942201489742,0.07120577985102583,0.4325000000000001,0.5674999999999999,44.0,231.0,False,876.0,0.0,1.0,01,operational,0.8,0.6,0.8,0.6,0,0.48,0.48
0.9052749280775384,0.0947250719224616,0.5036875000000001,0.4963125,56.0,250.0,False,876.0,0.0,1.0,11,operational,0.8,0.6,0.8,0.6,0,0.48,0.48
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.8,0.8,0.8,0.8,0,0.6400000000000001,0.6400000000000001
0.9165615921296296,0.08343840787037038,0.5285000000000001,0.4714999999999999,52.0,213.0,False,876.0,0.0,1.0,10,operational,0.8,0.8,0.8,0.8,0,0.6400000000000001,0.6400000000000001
0.9262443998358232,0.07375560016417682,0.4325000000000001,0.5674999999999999,44.0,239.0,False,876.0,0.0,1.0,01,operational,0.8,0.8,0.8,0.8,0,0.6400000000000001,0.6400000000000001
0.7402491075597102,0.2597508924402898,0.5285000000000001,0.4714999999999999,52.0,,True,876.0,1.0,0.7749999999999999,11,operational,0.8,0.8,0.8,0.8,0,0.6400000000000001,0.6400000000000001
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.8,1.0,0.8,1.0,0,0.8,0.8
0.9113070596064814,0.0886929403935186,0.55521875,0.44478125,56.0,213.0,False,876.0,0.0,1.0,10,operational,0.8,1.0,0.8,1.0,0,0.8,0.8
0.9249267563078704,0.07507324369212964,0.4325000000000001,0.5674999999999999,44.0,244.0,False,876.0,0.0,1.0,01,operational,0.8,1.0,0.8,1.0,0,0.8,0.8
0.6566942090461865,0.3433057909538135,0.55521875,0.44478125,56.0,,True,876.0,1.0,0.68,11,operational,0.8,1.0,0.8,1.0,0,0.8,0.8
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,1.0,0.2,1.0,0.2,0,0.2,0.2
0.9313782677228009,0.06862173227719914,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,1.0,0.2,1.0,0.2,0,0.2,0.2
0.9336418296643518,0.06635817033564817,0.4325000000000001,0.5674999999999999,44.0,218.0,False,876.0,0.0,1.0,01,operational,1.0,0.2,1.0,0.2,0,0.2,0.2
0.9286328093353559,0.07136719066464414,0.4325000000000001,0.5674999999999999,44.0,220.0,False,876.0,0.0,1.0,11,operational,1.0,0.2,1.0,0.2,0,0.2,0.2
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,1.0,0.4,1.0,0.4,0,0.4,0.4
0.9244234508101852,0.07557654918981482,0.48350000000000004,0.5165,56.0,213.0,False,876.0,0.0,1.0,10,operational,1.0,0.4,1.0,0.4,0,0.4,0.4
0.9315429767607771,0.06845702323922287,0.4325000000000001,0.5674999999999999,44.0,223.0,False,876.0,0.0,1.0,01,operational,1.0,0.4,1.0,0.4,0,0.4,0.4
0.9154466571097843,0.08455334289021565,0.48350000000000004,0.5165,56.0,234.0,False,876.0,0.0,1.0,11,operational,1.0,0.4,1.0,0.4,0,0.4,0.4
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,1.0,0.6,1.0,0.6,0,0.6,0.6
0.9175055190972221,0.08249448090277789,0.5276250000000001,0.4723749999999999,56.0,213.0,False,876.0,0.0,1.0,10,operational,1.0,0.6,1.0,0.6,0,0.6,0.6
0.9287423732359478,0.07125762676405223,0.4325000000000001,0.5674999999999999,44.0,231.0,False,876.0,0.0,1.0,01,operational,1.0,0.6,1.0,0.6,0,0.6,0.6
0.8956523909994626,0.10434760900053741,0.5276250000000001,0.4723749999999999,56.0,259.0,False,876.0,0.0,1.0,11,operational,1.0,0.6,1.0,0.6,0,0.6,0.6
