q_prop,kappa_prop,q_rec,kappa_rec,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.6,0.4,0.6,0.4,0.005695031792952709,0.0046443118916678445,0.012280196120330277,0.0019408524357097242,0.018866666666666667,0.0,0.018866666666666667,0.0,0.03333333333333333,10.0,13.666666666666666,3.6333333333333333,0.03333333333333333,10.0,13.666666666666666,3.6333333333333333,0.0,0.0,0.0,0.0,0.24,0.24
0.6,0.6,0.6,0.6,0.009221482903549386,0.008547038902551714,0.023517430581458398,0.005748908775357298,0.04588333333333332,0.0,0.04588333333333332,0.0,0.03333333333333333,18.166666666666668,28.233333333333334,10.033333333333333,0.03333333333333333,18.166666666666668,28.233333333333334,10.033333333333333,0.0,0.0,0.0,0.0,0.36,0.36
0.6,0.8,0.6,0.8,0.012736095298868315,0.011424226338073292,0.10214865997130278,0.07798833833436115,0.06438,0.0,0.06438,0.0,0.2,25.433333333333334,18.25,8.5,0.2,25.433333333333334,565.3,539.6666666666666,0.0,0.0,0.8666666666666667,0.8666666666666667,0.48,0.48
0.6,1.0,0.6,1.0,0.016259078759002062,0.011569072013729635,0.17586695738638924,0.14803880661365756,0.08123958333333328,0.0,0.08123958333333328,0.0,0.3333333333333333,29.666666666666668,,,0.3333333333333333,29.666666666666668,654.4,624.4,0.0,0.0,1.0,1.0,0.6,0.6
0.8,0.2,0.8,0.2,0.0028361196297582492,0.003204784376065395,0.0066749680083050674,0.0006340640024814233,0.0,0.0,0.0,0.0,0.03333333333333333,6.766666666666667,7.866666666666666,1.0666666666666667,0.03333333333333333,6.766666666666667,7.866666666666666,1.0666666666666667,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.8,0.4,0.8,0.4,0.00749809306944446,0.0073729371436730825,0.018248304928613915,0.003377274715496374,0.027603333333333337,0.0,0.027603333333333337,0.0,0.23333333333333334,15.966666666666667,22.1,5.9,0.23333333333333334,15.966666666666667,22.1,5.9,0.0,0.0,0.0,0.0,0.32000000000000006,0.32000000000000006
0.8,0.6,0.8,0.6,0.01216710933796297,0.013733104545584589,0.03607204253894643,0.01017182865539887,0.061261458333333324,0.0,0.061261458333333324,0.0,0.4,29.6,46.266666666666666,16.266666666666666,0.4,29.6,46.266666666666666,16.266666666666666,0.0,0.0,0.0,0.0,0.48,0.48
0.8,0.8,0.8,0.8,0.016819415035493827,0.017851557642460863,0.1782555151486164,0.1435845424706617,0.08465999999999999,0.0,0.08465999999999999,0.0,0.4666666666666667,40.46666666666667,26.0,17.0,0.4666666666666667,40.46666666666667,631.7,590.7666666666667,0.0,0.0,0.9666666666666667,0.9666666666666667,0.6400000000000001,0.6400000000000001
0.8,1.0,0.8,1.0,0.021487432712191355,0.018217437987194666,0.29134376015237373,0.25163888945298774,0.10708437499999993,0.0,0.10708437499999993,0.0,0.6666666666666666,46.266666666666666,,,0.6666666666666666,46.266666666666666,654.4,607.4666666666667,0.0,0.0,1.0,1.0,0.8,0.8
1.0,0.2,1.0,0.2,0.0035632791202257004,0.0041601832944484236,0.008700039023768738,0.0009765766090946149,0.0,0.0,0.0,0.0,0.1,8.733333333333333,10.466666666666667,1.6333333333333333,0.1,8.733333333333333,10.466666666666667,1.6333333333333333,0.0,0.0,0.0,0.0,0.2,0.2
1.0,0.4,1.0,0.4,0.009420212658693413,0.009594844876458904,0.02431535086293264,0.005300293327780326,0.03405791666666667,0.0,0.03405791666666667,0.0,0.26666666666666666,20.333333333333332,29.533333333333335,8.933333333333334,0.26666666666666666,20.333333333333332,29.533333333333335,8.933333333333334,0.0,0.0,0.0,0.0,0.4,0.4
1.0,0.6,1.0,0.6,0.015280923241512341,0.01788905116589139,0.049436909981748836,0.016266935574345106,0.07657562500000001,0.0,0.07657562500000001,0.0,0.5333333333333333,37.833333333333336,63.266666666666666,24.9,0.5333333333333333,37.833333333333336,63.266666666666666,24.9,0.0,0.0,0.0,0.0,0.6,0.6
1.0,0.8,1.0,0.8,0.02112243203034977,0.02368794270461472,0.2652430151754313,0.22043264044046681,0.10610666666666665,0.0,0.10610666666666665,0.0,0.6333333333333333,52.36666666666667,,,0.6333333333333333,52.36666666666667,654.4,601.4,0.0,0.0,1.0,1.0,0.8,0.8
1.0,1.0,1.0,1.0,0.026981027161779823,0.024063994314922624,0.440282051214349,0.3892370297376465,0.13421145833333326,0.0,0.13421145833333326,0.0,0.7,59.8,,,0.7,59.8,654.4,593.9,0.0,0.0,1.0,1.0,1.0,1.0
