R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,replication,psi_prop,psi_rec,q_prop_realised,kappa_prop_realised,psi_prop_realised,q_rec_realised,kappa_rec_realised,psi_rec_realised
0.8960426133387973,0.1039573866612026,0.50989613593001,0.4901038640699899,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0.6,0.6,0.6,0.6,0,0,0.36,0.36,0.5833333333333334,0.5999999999999999,0.3499999999999999,0.0,0.0,0.0
0.8869799372023429,0.113020062797657,0.50989613593001,0.4901038640699899,360.0,1220.0,False,3760.0,0.0,0.9999999999999994,11,operational,0.6,0.6,0.6,0.6,0,0,0.36,0.36,0.5833333333333334,0.5999999999999999,0.3499999999999999,0.6060606060606061,0.5999999999999999,0.3636363636363636
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,0.6,0.6,0.6,0.6,1,0,0.36,0.36,,,,,,
0.9021400918332668,0.097859908166733,0.4984763050253206,0.5015236949746794,360.0,1140.0,False,3760.0,0.0,0.9999999999999994,01,operational,0.6,0.6,0.6,0.6,1,0,0.36,0.36,0.0,0.0,0.0,0.6060606060606061,0.5999999999999999,0.3636363636363636
0.8939304586399588,0.1060695413600412,0.5174393362031899,0.48256066379681,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0.6,0.6,0.6,0.6,1,0,0.36,0.36,0.5833333333333334,0.5999999999999999,0.3499999999999999,0.0,0.0,0.0
0.8897160559873424,0.1102839440126576,0.5174393362031899,0.48256066379681,360.0,1180.0,False,3760.0,0.0,0.9999999999999994,11,operational,0.6,0.6,0.6,0.6,1,0,0.36,0.36,0.5833333333333334,0.5999999999999999,0.3499999999999999,0.6060606060606061,0.5999999999999999,0.3636363636363636
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,0.6,1.0,0.6,1.0,0,0,0.6,0.6,,,,,,
0.8977531302685771,0.1022468697314229,0.4984763050253206,0.5015236949746794,360.0,1220.0,False,3760.0,0.0,0.9999999999999994,01,operational,0.6,1.0,0.6,1.0,0,0,0.6,0.6,0.0,0.0,0.0,0.6060606060606061,1.0,0.6060606060606061
0.8912097354456283,0.1087902645543716,0.5159922932026533,0.4840077067973466,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0.6,1.0,0.6,1.0,0,0,0.6,0.6,0.5833333333333334,1.0,0.5833333333333334,0.0,0.0,0.0
0.7498175285465448,0.2501824714534552,0.5159922932026533,0.4840077067973466,360.0,,True,3760.0,1.0,0.8083180806907633,11,operational,0.6,1.0,0.6,1.0,0,0,0.6,0.6,0.5833333333333334,1.0,0.5833333333333334,0.6060606060606061,1.0,0.6060606060606061
0.9035223742829492,0.0964776257170506,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,0.6,1.0,0.6,1.0,1,0,0.6,0.6,,,,,,
0.9000806137460159,0.0999193862539841,0.4984763050253206,0.5015236949746794,360.0,1170.0,False,3760.0,0.0,0.9999999999999994,01,operational,0.6,1.0,0.6,1.0,1,0,0.6,0.6,0.0,0.0,0.0,0.6060606060606061,1.0,0.6060606060606061
0.8880303365820625,0.1119696634179374,0.5271829565375203,0.4728170434624796,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0.6,1.0,0.6,1.0,1,0,0.6,0.6,0.5833333333333334,1.0,0.5833333333333334,0.0,0.0,0.0
