R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,replication,psi_prop,psi_rec,q_prop_realised,kappa_prop_realised,psi_prop_realised,q_rec_realised,kappa_rec_realised,psi_rec_realised
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.4,0.2,0.4,3,0,0.08000000000000002,0.08000000000000002,,,,,,
0.9326045116898147,0.06739548831018527,0.4495000000000001,0.5504999999999999,56.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.4,0.2,0.4,3,0,0.08000000000000002,0.08000000000000002,0.2,0.4,0.08000000000000002,0.0,0.0,0.0
0.935205835871281,0.06479416412871897,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,01,operational,0.2,0.4,0.2,0.4,3,0,0.08000000000000002,0.08000000000000002,0.0,0.0,0.0,0.2,0.4,0.08000000000000002
0.9324008780240589,0.06759912197594109,0.4495000000000001,0.5504999999999999,56.0,213.0,False,876.0,0.0,1.0,11,operational,0.2,0.4,0.2,0.4,3,0,0.08000000000000002,0.08000000000000002,0.2,0.4,0.08000000000000002,0.2,0.4,0.08000000000000002
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.6,0.2,0.6,0,0,0.12,0.12,,,,,,
0.9326563388888888,0.06734366111111123,0.4475000000000001,0.5524999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.6,0.2,0.6,0,0,0.12,0.12,0.2,0.6,0.12,0.0,0.0,0.0
0.9315775859233806,0.06842241407661942,0.4325000000000001,0.5674999999999999,44.0,222.0,False,876.0,0.0,1.0,01,operational,0.2,0.6,0.2,0.6,0,0,0.12,0.12,0.0,0.0,0.0,0.2,0.6,0.12
0.9286171618424182,0.07138283815758184,0.4475000000000001,0.5524999999999999,44.0,223.0,False,876.0,0.0,1.0,11,operational,0.2,0.6,0.2,0.6,0,0,0.12,0.12,0.2,0.6,0.12,0.2,0.6,0.12
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.6,0.2,0.6,1,0,0.12,0.12,,,,,,
0.9322742652777778,0.06772573472222221,0.4535,0.5465,48.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.6,0.2,0.6,1,0,0.12,0.12,0.2,0.6,0.12,0.0,0.0,0.0
0.9316793576388889,0.06832064236111113,0.4325000000000001,0.5674999999999999,44.0,222.0,False,876.0,0.0,1.0,01,operational,0.2,0.6,0.2,0.6,1,0,0.12,0.12,0.0,0.0,0.0,0.2,0.6,0.12
0.9283195737385185,0.07168042626148152,0.4535,0.5465,48.0,222.0,False,876.0,0.0,1.0,11,operational,0.2,0.6,0.2,0.6,1,0,0.12,0.12,0.2,0.6,0.12,0.2,0.6,0.12
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.6,0.2,0.6,2,0,0.12,0.12,,,,,,
