q_prop,kappa_prop,q_rec,kappa_rec,seed_design,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.6,0.6,0.6,0.6,0,0.008764747739197517,0.008742610698150263,0.023197520050496297,0.005690161613148518,0.04506708333333333,0.0,0.04506708333333333,0.0,0.06666666666666667,18.2,28.533333333333335,10.266666666666667,0.06666666666666667,18.2,28.533333333333335,10.266666666666667,0.0,0.0,0.0,0.0,0.36,0.36
0.6,0.6,0.6,0.6,1,0.0089709396751543,0.010284898996384273,0.023724370168215565,0.004468531496676993,0.04420416666666667,0.0,0.04420416666666667,0.0,0.3333333333333333,21.8,28.866666666666667,6.733333333333333,0.3333333333333333,21.8,28.866666666666667,6.733333333333333,0.0,0.0,0.0,0.0,0.36,0.36
0.6,0.6,0.6,0.6,2,0.00915281177391977,0.01141146369313717,0.02539656909170569,0.00483229362464875,0.049549583333333355,0.0,0.049549583333333355,0.0,0.26666666666666666,23.666666666666668,31.333333333333332,7.4,0.26666666666666666,23.666666666666668,31.333333333333332,7.4,0.0,0.0,0.0,0.0,0.36,0.36
0.6,0.6,0.6,0.6,3,0.009152999969135803,0.01188188498964667,0.029313886278353133,0.00827900131957066,0.04774041666666667,0.0,0.04774041666666667,0.0,0.13333333333333333,24.333333333333332,38.53333333333333,14.066666666666666,0.13333333333333333,24.333333333333332,38.53333333333333,14.066666666666666,0.0,0.0,0.0,0.0,0.36,0.36
0.6,0.8,0.6,0.8,0,0.012134720828189302,0.012034198255531004,0.09753965507603232,0.07337073599231202,0.06427999999999999,0.0,0.06427999999999999,0.0,0.2,26.0,24.0,10.5,0.2,26.0,570.6,544.4,0.0,0.0,0.8666666666666667,0.8666666666666667,0.48,0.48
0.6,0.8,0.6,0.8,1,0.012449267483539094,0.014454448572209743,0.08599761584542787,0.05909389978967903,0.06189333333333335,0.0,0.06189333333333335,0.0,0.5333333333333333,31.333333333333332,10.0,5.0,0.5333333333333333,31.333333333333332,611.2,579.3333333333334,0.0,0.0,0.9333333333333333,0.9333333333333333,0.48,0.48
0.6,0.8,0.6,0.8,2,0.012684561377572028,0.015256526514530199,0.0820158971238628,0.05407480923176057,0.06942666666666668,0.0,0.06942666666666668,0.0,0.3333333333333333,33.0,27.0,6.0,0.3333333333333333,33.0,612.3333333333334,579.0,0.0,0.0,0.9333333333333333,0.9333333333333333,0.48,0.48
0.6,0.8,0.6,0.8,3,0.012677085452674874,0.01634018083650238,0.150302072787296,0.12128480649811871,0.06612,0.0,0.06612,0.0,0.2,34.666666666666664,,,0.2,34.666666666666664,658.3333333333334,623.4666666666667,0.0,0.0,1.0,1.0,0.48,0.48
0.6,1.0,0.6,1.0,0,0.015512106764403288,0.012175991263516768,0.17876420999900297,0.1510761119710829,0.08095833333333327,0.0,0.08095833333333327,0.0,0.4666666666666667,30.533333333333335,,,0.4666666666666667,30.533333333333335,658.3333333333334,627.3333333333334,0.0,0.0,1.0,1.0,0.6,0.6
0.6,1.0,0.6,1.0,1,0.015934405824331293,0.014518623441181822,0.1172055030930092,0.08675247382749608,0.07859999999999993,0.0,0.07859999999999993,0.0,0.6666666666666666,36.333333333333336,,,0.6666666666666666,36.333333333333336,658.3333333333334,621.3333333333334,0.0,0.0,1.0,1.0,0.6,0.6
0.6,1.0,0.6,1.0,2,0.016227650796039116,0.014892199236535212,0.14232363812094148,0.11120378808836714,0.0877145833333333,0.0,0.0877145833333333,0.0,0.4666666666666667,37.6,,,0.4666666666666667,37.6,658.3333333333334,620.2666666666667,0.0,0.0,1.0,1.0,0.6,0.6
0.6,1.0,0.6,1.0,3,0.01620852869084364,0.01620272080872628,0.2209241373208822,0.18851288782131229,0.08345208333333327,0.0,0.08345208333333327,0.0,0.4666666666666667,39.6,,,0.4666666666666667,39.6,658.3333333333334,618.2666666666667,0.0,0.0,1.0,1.0,0.6,0.6
0.8,0.2,0.8,0.2,0,0.0026439657812178385,0.0029471601358510716,0.006186178295807166,0.0005950523787382552,0.0,0.0,0.0,0.0,0.0,6.333333333333333,7.333333333333333,1.0,0.0,6.333333333333333,7.333333333333333,1.0,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.8,0.2,0.8,0.2,1,0.0026615161705889918,0.0035110472941804137,0.006789525700534038,0.0006169622357646324,0.0,0.0,0.0,0.0,0.06666666666666667,7.2,8.133333333333333,0.8666666666666667,0.06666666666666667,7.2,8.133333333333333,0.8666666666666667,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.8,0.2,0.8,0.2,2,0.002725071397215813,0.003099396540367246,0.006461270296031622,0.0006368023584485627,0.0,0.0,0.0,0.0,0.06666666666666667,6.466666666666667,7.6,1.0666666666666667,0.06666666666666667,6.466666666666667,7.6,1.0666666666666667,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.8,0.2,0.8,0.2,3,0.0026626932276877955,0.003561223511319844,0.006838505669049422,0.0006145889300417818,0.0,0.0,0.0,0.0,0.0,7.333333333333333,8.533333333333333,1.2,0.0,7.333333333333333,8.533333333333333,1.2,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.8,0.4,0.8,0.4,0,0.0070933838796296556,0.006731063020712557,0.017003530722728127,0.0031790838223859125,0.026322500000000013,0.0,0.026322500000000013,0.0,0.2,14.533333333333333,20.6,5.866666666666666,0.2,14.533333333333333,20.6,5.866666666666666,0.0,0.0,0.0,0.0,0.32000000000000006,0.32000000000000006
0.8,0.4,0.8,0.4,1,0.007164545478395076,0.008073482046120802,0.018649180357408375,0.0034111528328924982,0.0268825,0.0,0.0268825,0.0,0.13333333333333333,16.733333333333334,22.666666666666668,5.8,0.13333333333333333,16.733333333333334,22.666666666666668,5.8,0.0,0.0,0.0,0.0,0.32000000000000006,0.32000000000000006
0.8,0.4,0.8,0.4,2,0.007339577707818967,0.007110665569768493,0.01789992728032538,0.003449684002737922,0.026106666666666684,0.0,0.026106666666666684,0.0,0.26666666666666666,14.866666666666667,21.133333333333333,6.0,0.26666666666666666,14.866666666666667,21.133333333333333,6.0,0.0,0.0,0.0,0.0,0.32000000000000006,0.32000000000000006
0.8,0.4,0.8,0.4,3,0.007169949836419764,0.008193451957724963,0.018782975325822775,0.003419573531678048,0.02410666666666664,0.0,0.02410666666666664,0.0,0.13333333333333333,17.066666666666666,23.133333333333333,5.933333333333334,0.13333333333333333,17.066666666666666,23.133333333333333,5.933333333333334,0.0,0.0,0.0,0.0,0.32000000000000006,0.32000000000000006
0.8,0.6,0.8,0.6,0,0.011566237798611137,0.012322665700458887,0.03340445501186267,0.00951555151279265,0.059806249999999984,0.0,0.059806249999999984,0.0,0.4,26.666666666666668,42.6,15.533333333333333,0.4,26.666666666666668,42.6,15.533333333333333,0.0,0.0,0.0,0.0,0.48,0.48
0.8,0.6,0.8,0.6,1,0.011696279965277785,0.014907030602301741,0.037082847326438934,0.010479536758859405,0.06322291666666666,0.0,0.06322291666666666,0.0,0.26666666666666666,30.666666666666668,47.53333333333333,16.6,0.26666666666666666,30.666666666666668,47.53333333333333,16.6,0.0,0.0,0.0,0.0,0.48,0.48
0.8,0.6,0.8,0.6,2,0.0119749589228395,0.013051029983206515,0.03549057729158045,0.010464588385534435,0.062184166666666665,0.0,0.062184166666666665,0.0,0.4,27.0,44.4,17.0,0.4,27.0,44.4,17.0,0.0,0.0,0.0,0.0,0.48,0.48
0.8,0.6,0.8,0.6,3,0.011694716826388889,0.015224364988729581,0.037388530649015414,0.010469448833896947,0.05951041666666666,0.0,0.05951041666666666,0.0,0.4,31.533333333333335,48.4,16.466666666666665,0.4,31.533333333333335,48.4,16.466666666666665,0.0,0.0,0.0,0.0,0.48,0.48
0.8,0.8,0.8,0.8,0,0.016022912512345673,0.017167495780716878,0.16645380194569956,0.13326339365263704,0.08296,0.0,0.08296,0.0,0.5333333333333333,38.0,26.0,17.0,0.5333333333333333,38.0,612.9333333333333,574.4,0.0,0.0,0.9333333333333333,0.9333333333333333,0.6400000000000001,0.6400000000000001
0.8,0.8,0.8,0.8,1,0.016216134783950616,0.02092992783855585,0.17149481703115788,0.1343487544086514,0.08827999999999998,0.0,0.08827999999999998,0.0,0.3333333333333333,44.4,,,0.3333333333333333,44.4,658.3333333333334,613.6,0.0,0.0,1.0,1.0,0.6400000000000001,0.6400000000000001
0.8,0.8,0.8,0.8,2,0.016594886356995887,0.018465043594645632,0.17905302086339778,0.14399309091175627,0.08728000000000004,0.0,0.08728000000000004,0.0,0.5333333333333333,39.46666666666667,13.0,9.0,0.5333333333333333,39.46666666666667,609.2666666666667,569.2666666666667,0.0,0.0,0.9333333333333333,0.9333333333333333,0.6400000000000001,0.6400000000000001
0.8,0.8,0.8,0.8,3,0.0162097209691358,0.02070970275811564,0.16629550747532026,0.12937608374806883,0.08357333333333332,0.0,0.08357333333333332,0.0,0.5333333333333333,44.733333333333334,,,0.5333333333333333,44.733333333333334,658.3333333333334,613.0666666666667,0.0,0.0,1.0,1.0,0.6400000000000001,0.6400000000000001
0.8,1.0,0.8,1.0,0,0.020495693591820987,0.017808157484546026,0.2816172264374522,0.24331337536108516,0.10511666666666658,0.0,0.10511666666666658,0.0,0.6666666666666666,44.46666666666667,,,0.6666666666666666,44.46666666666667,658.3333333333334,613.2,0.0,0.0,1.0,1.0,0.8,0.8
0.8,1.0,0.8,1.0,1,0.020748656616512342,0.020870779340267945,0.27493170124440947,0.23331226528762913,0.11152708333333325,0.0,0.11152708333333325,0.0,0.5333333333333333,51.13333333333333,,,0.5333333333333333,51.13333333333333,658.3333333333334,606.6666666666666,0.0,0.0,1.0,1.0,0.8,0.8
0.8,1.0,0.8,1.0,2,0.021228665527263383,0.01889292777685294,0.2933367111836719,0.2532151178795556,0.11055833333333326,0.0,0.11055833333333326,0.0,0.6666666666666666,46.4,,,0.6666666666666666,46.4,658.3333333333334,611.2666666666667,0.0,0.0,1.0,1.0,0.8,0.8
