R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,kappa_prop,kappa_rec
0.9011967994830784,0.0988032005169214,0.4764368115534457,0.5235631884465543,360.0,1190.0,False,3760.0,0.0,0.9999999999999992,10,operational,32,10,0.4,0.4
0.9065001627756883,0.0934998372243116,0.4680845287760561,0.5319154712239439,360.0,1200.0,False,3760.0,0.0,0.9999999999999992,01,operational,32,1,0.4,0.4
0.9006169029415882,0.0993830970584117,0.4764368115534457,0.5235631884465543,360.0,1200.0,False,3760.0,0.0,0.9999999999999992,11,operational,32,11,0.4,0.4
0.9205675644282456,0.0794324355717545,0.6760963111780314,0.3239036888219687,360.0,880.0,False,3760.0,0.0,0.9999999999999992,00,operational,40,0,0.4,0.4
0.9177674043000053,0.0822325956999947,0.7179553142114223,0.2820446857885776,360.0,880.0,False,3760.0,0.0,0.9999999999999992,10,operational,40,10,0.4,0.4
0.9156768253110766,0.0843231746889233,0.6760963111780314,0.3239036888219687,360.0,930.0,False,3760.0,0.0,0.9999999999999992,01,operational,40,1,0.4,0.4
0.9110462661744828,0.0889537338255173,0.7179553142114223,0.2820446857885776,360.0,940.0,False,3760.0,0.0,0.9999999999999992,11,operational,40,11,0.4,0.4
0.9035449232996592,0.0964550767003408,0.4891493006004693,0.5108506993995306,360.0,1200.0,False,3760.0,0.0,0.9999999999999992,00,operational,48,0,0.4,0.4
0.8967785278268298,0.1032214721731702,0.5170152656207123,0.4829847343792877,360.0,1200.0,False,3760.0,0.0,0.9999999999999992,10,operational,48,10,0.4,0.4
0.9022803636943256,0.0977196363056743,0.4891493006004693,0.5108506993995306,360.0,1220.0,False,3760.0,0.0,0.9999999999999992,01,operational,48,1,0.4,0.4
0.8941488082346061,0.1058511917653939,0.5170152656207123,0.4829847343792877,360.0,1230.0,False,3760.0,0.0,0.9999999999999992,11,operational,48,11,0.4,0.4
0.7629481640389381,0.2370518359610619,0.8562823335524294,0.1437176664475705,360.0,1950.0,False,3760.0,0.0,0.9999999999999992,00,operational,56,0,0.4,0.4
0.7541160030484498,0.2458839969515501,0.8854286528103235,0.1145713471896765,360.0,1950.0,False,3760.0,0.0,0.9999999999999992,10,operational,56,10,0.4,0.4
0.7318727359128769,0.268127264087123,0.8562823335524294,0.1437176664475705,360.0,2150.0,False,3760.0,0.0,0.9999999999999992,01,operational,56,1,0.4,0.4
0.7213755025862956,0.2786244974137044,0.8854286528103235,0.1145713471896765,360.0,2160.0,False,3760.0,0.0,0.9999999999999992,11,operational,56,11,0.4,0.4
0.8872889840179681,0.1127110159820319,0.6365236798322815,0.3634763201677185,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,00,operational,64,0,0.4,0.4
0.8813937105913273,0.1186062894086726,0.6702975428560307,0.3297024571439692,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,10,operational,64,10,0.4,0.4
0.8870736216788848,0.1129263783211151,0.6365236798322815,0.3634763201677185,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,01,operational,64,1,0.4,0.4
0.8809989214635557,0.1190010785364442,0.6702975428560307,0.3297024571439692,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,11,operational,64,11,0.4,0.4
0.951051789769487,0.0489482102305129,0.4822389419758067,0.5177610580241933,360.0,750.0,False,3760.0,0.0,0.9999999999999992,00,operational,72,0,0.4,0.4
0.9462088378722878,0.0537911621277121,0.5452088858879864,0.4547911141120136,360.0,750.0,False,3760.0,0.0,0.9999999999999992,10,operational,72,10,0.4,0.4
0.9500916157593828,0.0499083842406171,0.4822389419758067,0.5177610580241933,360.0,770.0,False,3760.0,0.0,0.9999999999999992,01,operational,72,1,0.4,0.4
0.9450356808061068,0.0549643191938932,0.5452088858879864,0.4547911141120136,360.0,770.0,False,3760.0,0.0,0.9999999999999992,11,operational,72,11,0.4,0.4
0.8053447919148037,0.1946552080851963,0.7288298088817389,0.2711701911182611,250.0,1770.0,False,3760.0,0.0,0.9999999999999992,00,operational,80,0,0.4,0.4
0.7981464278056052,0.2018535721943948,0.7362623670599187,0.2637376329400813,250.0,1770.0,False,3760.0,0.0,0.9999999999999992,10,operational,80,10,0.4,0.4
0.7975644496066695,0.2024355503933305,0.7288298088817389,0.2711701911182611,250.0,1830.0,False,3760.0,0.0,0.9999999999999992,01,operational,80,1,0.4,0.4
0.7885226585445521,0.2114773414554479,0.7362623670599187,0.2637376329400813,250.0,1850.0,False,3760.0,0.0,0.9999999999999992,11,operational,80,11,0.4,0.4
0.9140201748741478,0.0859798251258522,0.4612712705241802,0.5387287294758197,360.0,1080.0,False,3760.0,0.0,0.9999999999999992,00,operational,88,0,0.4,0.4
0.9087235840815228,0.0912764159184773,0.475873626747985,0.5241263732520149,360.0,1080.0,False,3760.0,0.0,0.9999999999999992,10,operational,88,10,0.4,0.4
0.9121065981230488,0.0878934018769512,0.4612712705241802,0.5387287294758197,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,01,operational,88,1,0.4,0.4
0.9045818328971352,0.0954181671028648,0.475873626747985,0.5241263732520149,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,11,operational,88,11,0.4,0.4
0.8830023941902104,0.1169976058097895,0.5778928055774117,0.4221071944225882,360.0,1320.0,False,3760.0,0.0,0.9999999999999992,00,operational,96,0,0.4,0.4
0.8720923328123015,0.1279076671876985,0.6128808418253526,0.3871191581746473,360.0,1320.0,False,3760.0,0.0,0.9999999999999992,10,operational,96,10,0.4,0.4
0.8813885118862699,0.1186114881137301,0.5778928055774117,0.4221071944225882,360.0,1340.0,False,3760.0,0.0,0.9999999999999992,01,operational,96,1,0.4,0.4
0.8696915678961302,0.1303084321038697,0.6128808418253526,0.3871191581746473,360.0,1350.0,False,3760.0,0.0,0.9999999999999992,11,operational,96,11,0.4,0.4
0.8337748861252223,0.1662251138747776,0.5601607891213138,0.4398392108786861,360.0,1680.0,False,3760.0,0.0,0.9999999999999992,00,operational,104,0,0.4,0.4
0.8284288751631351,0.1715711248368648,0.5653036809082118,0.4346963190917882,360.0,1680.0,False,3760.0,0.0,0.9999999999999992,10,operational,104,10,0.4,0.4
0.8246313577153841,0.1753686422846159,0.5601607891213138,0.4398392108786861,360.0,1770.0,False,3760.0,0.0,0.9999999999999992,01,operational,104,1,0.4,0.4
0.818188970317417,0.181811029682583,0.5653036809082118,0.4346963190917882,360.0,1780.0,False,3760.0,0.0,0.9999999999999992,11,operational,104,11,0.4,0.4
0.9302236013837724,0.0697763986162276,0.4268289648881777,0.5731710351118223,360.0,920.0,False,3760.0,0.0,0.9999999999999992,00,operational,112,0,0.4,0.4
0.9260729554600756,0.0739270445399242,0.4457472200759708,0.5542527799240292,360.0,930.0,False,3760.0,0.0,0.9999999999999992,10,operational,112,10,0.4,0.4
0.9280013706030028,0.0719986293969973,0.4268289648881777,0.5731710351118223,360.0,950.0,False,3760.0,0.0,0.9999999999999992,01,operational,112,1,0.4,0.4
0.9229438812556848,0.077056118744315,0.4457472200759708,0.5542527799240292,360.0,960.0,False,3760.0,0.0,0.9999999999999992,11,operational,112,11,0.4,0.4
0.8512407203608555,0.1487592796391444,0.7243442082804799,0.2756557917195201,280.0,1440.0,False,3760.0,0.0,0.9999999999999992,00,operational,120,0,0.4,0.4
0.8396038441024289,0.160396155897571,0.7865952344083714,0.2134047655916285,280.0,1440.0,False,3760.0,0.0,0.9999999999999992,10,operational,120,10,0.4,0.4
0.8428137530854624,0.1571862469145376,0.7243442082804799,0.2756557917195201,280.0,1510.0,False,3760.0,0.0,0.9999999999999992,01,operational,120,1,0.4,0.4
0.827506796958997,0.172493203041003,0.7865952344083714,0.2134047655916285,280.0,1530.0,False,3760.0,0.0,0.9999999999999992,11,operational,120,11,0.4,0.4
0.8964852652449874,0.1035147347550126,0.4943217539179453,0.5056782460820547,360.0,1250.0,False,3760.0,0.0,0.9999999999999992,00,operational,128,0,0.4,0.4
0.8909065401990305,0.1090934598009695,0.5085234691700715,0.4914765308299285,360.0,1250.0,False,3760.0,0.0,0.9999999999999992,10,operational,128,10,0.4,0.4
0.885092507040278,0.114907492959722,0.4943217539179453,0.5056782460820547,360.0,1370.0,False,3760.0,0.0,0.9999999999999992,01,operational,128,1,0.4,0.4
0.8781260423171193,0.1218739576828806,0.5085234691700715,0.4914765308299285,360.0,1380.0,False,3760.0,0.0,0.9999999999999992,11,operational,128,11,0.4,0.4
0.8792316780955225,0.1207683219044775,0.7413620307311475,0.2586379692688524,360.0,1160.0,False,3760.0,0.0,0.9999999999999992,00,operational,136,0,0.4,0.4
0.8730908064715726,0.1269091935284274,0.780076995472633,0.219923004527367,360.0,1170.0,False,3760.0,0.0,0.9999999999999992,10,operational,136,10,0.4,0.4
0.8776022877767147,0.1223977122232853,0.7413620307311475,0.2586379692688524,360.0,1180.0,False,3760.0,0.0,0.9999999999999992,01,operational,136,1,0.4,0.4
0.8708634900575215,0.1291365099424785,0.780076995472633,0.219923004527367,360.0,1200.0,False,3760.0,0.0,0.9999999999999992,11,operational,136,11,0.4,0.4
0.9555057849843052,0.0444942150156947,0.3695245767964482,0.6304754232035518,360.0,710.0,False,3760.0,0.0,0.9999999999999992,00,operational,144,0,0.4,0.4
0.9528687881125324,0.0471312118874674,0.3816058642804874,0.6183941357195126,360.0,710.0,False,3760.0,0.0,0.9999999999999992,10,operational,144,10,0.4,0.4
