replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
11,0.026444162466923604,0.0612390841603796,0.0840216121778572,-0.003661634449446005,0.020988959161036047,0.0,0.020988959161036047,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
12,0.02810328525708039,0.11948604961277148,0.10057950300617557,-0.0470098318636763,0.04272687659852514,0.0,0.04272687659852514,0.0,0.0,,,,0.0,370.0,370.0,0.0,0.0,1.0,1.0,0.0,True
13,0.005586247578519193,0.006919235615827801,0.050984654332512994,0.038479171138166,0.04979797252245177,0.0,0.04979797252245177,0.0,0.0,150.0,,,0.0,150.0,2280.0,2130.0,0.0,0.0,1.0,1.0,True
14,0.006707252773958311,0.016701969487779605,0.028201196808839812,0.004791974547101896,0.03437509232811908,0.0,0.03437509232811908,0.0,0.0,330.0,240.0,-90.0,0.0,330.0,240.0,-90.0,0.0,0.0,0.0,0.0,False
15,0.009541907178917605,0.02740087726275671,0.03541903615811791,-0.001523748283556406,0.044044030965605885,0.0,0.044044030965605885,0.0,0.0,470.0,490.0,20.0,0.0,470.0,490.0,20.0,0.0,0.0,0.0,0.0,False
16,0.052371312156252015,0.12615430745391587,0.04963338013560359,-0.1288922394745643,0.05986332012186113,0.0,0.05986332012186113,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
17,0.005011691412716596,0.01394489426018411,0.0209363747622269,0.001979789089326195,0.005642782256161105,0.0,0.005642782256161105,0.0,0.0,470.0,510.0,40.0,0.0,470.0,510.0,40.0,0.0,0.0,0.0,0.0,False
18,0.01721000426811639,0.0212969268115219,0.04796856788880122,0.009461636809162927,0.04241335502812238,0.0,0.04241335502812238,0.0,0.0,350.0,380.0,30.0,0.0,350.0,380.0,30.0,0.0,0.0,0.0,0.0,False
19,0.026511009096533034,0.020004501210870274,0.06980441595872611,0.0232889056513228,0.02964942996088682,0.0,0.02964942996088682,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
20,0.016583515637528412,0.048544550516100515,0.17722397695372089,0.11209591080009196,0.03271085275621588,0.0,0.03271085275621588,0.0,0.0,840.0,,,0.0,840.0,880.0,40.0,0.0,0.0,1.0,1.0,True
21,0.0066920339061871115,0.021241368111851705,0.04320081069311121,0.015267408675072397,0.015070259403466846,0.0,0.015070259403466846,0.0,0.0,600.0,670.0,70.0,0.0,600.0,670.0,70.0,0.0,0.0,0.0,0.0,False
22,0.014929745400376587,0.019391037275506312,0.0268819041862495,-0.007438878489633399,0.07544195086247163,0.0,0.07544195086247163,0.0,0.0,300.0,320.0,20.0,0.0,300.0,320.0,20.0,0.0,0.0,0.0,0.0,False
23,0.0028110744434689944,0.013459750616754501,0.016614032079539792,0.0003432070193162967,0.027597073169222774,-1.1102230246251565e-16,0.027597073169222774,1.1102230246251565e-16,0.0,270.0,250.0,-20.0,0.0,270.0,250.0,-20.0,0.0,0.0,0.0,0.0,False
24,0.015741959898175284,0.03505811869188738,0.11456932939630429,0.06376925080624163,0.06261221723273114,0.0,0.06261221723273114,0.0,0.0,610.0,,,0.0,610.0,1730.0,1120.0,0.0,0.0,1.0,1.0,True
25,0.001174619101129093,0.0029983312892254976,0.004207870380836101,3.491999048151062e-05,0.0046291340515242085,0.0,0.0046291340515242085,0.0,0.0,120.0,120.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,False
26,0.014585626389476108,0.011775959583661608,0.0407231536357445,0.01436156766260678,0.09681246990374337,0.0,0.09681246990374337,0.0,0.0,370.0,350.0,-20.0,0.0,370.0,350.0,-20.0,0.0,0.0,0.0,0.0,False
27,0.006451053322569178,0.0437504184765094,0.04403707316490879,-0.006164398634169788,0.029449230897942158,0.0,0.029449230897942158,0.0,0.0,590.0,590.0,0.0,0.0,590.0,590.0,0.0,0.0,0.0,0.0,0.0,False
28,0.018706711547236493,0.049381102252055165,0.06454003773225658,-0.0035477760670350744,0.03447497105837671,0.0,0.03447497105837671,0.0,0.0,820.0,,,0.0,820.0,910.0,90.0,0.0,0.0,1.0,1.0,True
29,0.0014344169597153844,0.004797306204650104,0.00624180291095458,1.0079746589092275e-05,1.3105374761179789e-05,0.0,1.3105374761179789e-05,0.0,0.0,120.0,120.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,False
