R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,access_threshold,kappa,T_eval
0.8676102509259642,0.1323897490740357,0.564756448028348,0.4352435519716519,360.0,1370.0,False,3760.0,0.0,0.9999999999999992,11,operational,170,0.3,0.5,4000.0
0.8944706692686093,0.1055293307313907,0.5850051570326826,0.4149948429673173,360.0,1230.0,False,3760.0,0.0,0.9999999999999992,00,operational,180,0.3,0.5,4000.0
0.8860275475617635,0.1139724524382365,0.6339418708284942,0.3660581291715058,360.0,1240.0,False,3760.0,0.0,0.9999999999999992,10,operational,180,0.3,0.5,4000.0
0.870241885964548,0.129758114035452,0.5850051570326826,0.4149948429673173,360.0,1460.0,False,3760.0,0.0,0.9999999999999992,01,operational,180,0.3,0.5,4000.0
0.8590589561080376,0.1409410438919623,0.6339418708284942,0.3660581291715058,360.0,1470.0,False,3760.0,0.0,0.9999999999999992,11,operational,180,0.3,0.5,4000.0
0.9673198772517216,0.0326801227482783,0.3371442932351878,0.6628557067648122,360.0,520.0,False,3760.0,0.0,0.9999999999999992,00,operational,190,0.3,0.5,4000.0
0.9656209392885174,0.0343790607114825,0.3537357648340797,0.6462642351659202,360.0,520.0,False,3760.0,0.0,0.9999999999999992,10,operational,190,0.3,0.5,4000.0
0.9671570259726066,0.0328429740273934,0.3371442932351878,0.6628557067648122,360.0,520.0,False,3760.0,0.0,0.9999999999999992,01,operational,190,0.3,0.5,4000.0
0.9654383461026768,0.0345616538973231,0.3537357648340797,0.6462642351659202,360.0,530.0,False,3760.0,0.0,0.9999999999999992,11,operational,190,0.3,0.5,4000.0
0.9013436980657528,0.0986563019342472,0.6916793730337041,0.3083206269662958,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,00,operational,1,0.3,0.5,4000.0
0.892558991735582,0.107441008264418,0.7708775244844994,0.2291224755155006,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,10,operational,1,0.3,0.5,4000.0
0.8973412619676431,0.1026587380323569,0.6916793730337041,0.3083206269662958,360.0,1150.0,False,3760.0,0.0,0.9999999999999992,01,operational,1,0.3,0.5,4000.0
0.8878326731927456,0.1121673268072543,0.7708775244844994,0.2291224755155006,360.0,1160.0,False,3760.0,0.0,0.9999999999999992,11,operational,1,0.3,0.5,4000.0
0.895950916011368,0.104049083988632,0.7689836341543164,0.2310163658456836,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,00,operational,11,0.3,0.5,4000.0
0.8841463790091952,0.1158536209908047,0.8573219293717133,0.1426780706282867,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,10,operational,11,0.3,0.5,4000.0
0.890012530716029,0.1099874692839709,0.7689836341543164,0.2310163658456836,360.0,1190.0,False,3760.0,0.0,0.9999999999999992,01,operational,11,0.3,0.5,4000.0
0.8750257705032414,0.1249742294967586,0.8573219293717133,0.1426780706282867,360.0,1210.0,False,3760.0,0.0,0.9999999999999992,11,operational,11,0.3,0.5,4000.0
0.8728144525380914,0.1271855474619085,0.8997218509745127,0.1002781490254872,360.0,1330.0,False,3760.0,0.0,0.9999999999999992,00,operational,21,0.3,0.5,4000.0
0.8610429968805183,0.1389570031194816,0.9654375420508527,0.0345624579491471,360.0,1330.0,False,3760.0,0.0,0.9999999999999992,10,operational,21,0.3,0.5,4000.0
0.8650301833886278,0.1349698166113722,0.8997218509745127,0.1002781490254872,360.0,1420.0,False,3760.0,0.0,0.9999999999999992,01,operational,21,0.3,0.5,4000.0
0.846777668928815,0.153222331071185,0.9654375420508527,0.0345624579491471,360.0,1480.0,False,3760.0,0.0,0.9999999999999992,11,operational,21,0.3,0.5,4000.0
0.9594567574535788,0.0405432425464211,0.3689314686936427,0.6310685313063573,360.0,640.0,False,3760.0,0.0,0.9999999999999992,00,operational,31,0.3,0.5,4000.0
0.9582825987379416,0.0417174012620582,0.3776562450194816,0.6223437549805184,360.0,640.0,False,3760.0,0.0,0.9999999999999992,10,operational,31,0.3,0.5,4000.0
0.9594049726861248,0.0405950273138753,0.3689314686936427,0.6310685313063573,360.0,640.0,False,3760.0,0.0,0.9999999999999992,01,operational,31,0.3,0.5,4000.0
0.9581237165562728,0.041876283443727,0.3776562450194816,0.6223437549805184,360.0,640.0,False,3760.0,0.0,0.9999999999999992,11,operational,31,0.3,0.5,4000.0
0.9284770237504362,0.0715229762495638,0.4590439599278735,0.5409560400721265,360.0,960.0,False,3760.0,0.0,0.9999999999999992,00,operational,41,0.3,0.5,4000.0
0.9193277087494444,0.0806722912505557,0.4948319663418532,0.5051680336581468,360.0,960.0,False,3760.0,0.0,0.9999999999999992,10,operational,41,0.3,0.5,4000.0
0.9256447497773564,0.0743552502226436,0.4590439599278735,0.5409560400721265,360.0,1000.0,False,3760.0,0.0,0.9999999999999992,01,operational,41,0.3,0.5,4000.0
0.914800260851916,0.0851997391480841,0.4948319663418532,0.5051680336581468,360.0,1020.0,False,3760.0,0.0,0.9999999999999992,11,operational,41,0.3,0.5,4000.0
0.8958011384875992,0.1041988615124007,0.5020211007875758,0.4979788992124242,360.0,1200.0,False,3760.0,0.0,0.9999999999999992,00,operational,51,0.3,0.5,4000.0
0.8907039778480944,0.1092960221519055,0.5061595732948723,0.4938404267051277,360.0,1200.0,False,3760.0,0.0,0.9999999999999992,10,operational,51,0.3,0.5,4000.0
0.8926198194190542,0.1073801805809457,0.5020211007875758,0.4979788992124242,360.0,1240.0,False,3760.0,0.0,0.9999999999999992,01,operational,51,0.3,0.5,4000.0
0.8861126890406943,0.1138873109593057,0.5061595732948723,0.4938404267051277,360.0,1260.0,False,3760.0,0.0,0.9999999999999992,11,operational,51,0.3,0.5,4000.0
0.950326834663224,0.0496731653367761,0.405369341195413,0.594630658804587,360.0,760.0,False,3760.0,0.0,0.9999999999999992,00,operational,61,0.3,0.5,4000.0
0.9435757789504168,0.0564242210495832,0.4406351209533123,0.5593648790466876,360.0,760.0,False,3760.0,0.0,0.9999999999999992,10,operational,61,0.3,0.5,4000.0
0.9476872977792988,0.0523127022207012,0.405369341195413,0.594630658804587,360.0,800.0,False,3760.0,0.0,0.9999999999999992,01,operational,61,0.3,0.5,4000.0
0.939161413001396,0.060838586998604,0.4406351209533123,0.5593648790466876,360.0,820.0,False,3760.0,0.0,0.9999999999999992,11,operational,61,0.3,0.5,4000.0
0.830445574185422,0.169554425814578,0.8123323135174875,0.1876676864825125,360.0,1490.0,False,3760.0,0.0,0.9999999999999992,00,operational,71,0.3,0.5,4000.0
0.8184521953179571,0.1815478046820429,0.8703010238818575,0.1296989761181425,360.0,1490.0,False,3760.0,0.0,0.9999999999999992,10,operational,71,0.3,0.5,4000.0
0.8143783988755335,0.1856216011244664,0.8123323135174875,0.1876676864825125,360.0,1630.0,False,3760.0,0.0,0.9999999999999992,01,operational,71,0.3,0.5,4000.0
0.7916942688281114,0.2083057311718885,0.8703010238818575,0.1296989761181425,360.0,1700.0,False,3760.0,0.0,0.9999999999999992,11,operational,71,0.3,0.5,4000.0
0.8596768026503355,0.1403231973496644,0.6529814460976289,0.3470185539023711,360.0,1480.0,False,3760.0,0.0,0.9999999999999992,00,operational,81,0.3,0.5,4000.0
0.8459570172697712,0.1540429827302287,0.7119487112442084,0.2880512887557915,360.0,1480.0,False,3760.0,0.0,0.9999999999999992,10,operational,81,0.3,0.5,4000.0
0.8456285167460612,0.1543714832539388,0.6529814460976289,0.3470185539023711,360.0,1610.0,False,3760.0,0.0,0.9999999999999992,01,operational,81,0.3,0.5,4000.0
0.8253821241027449,0.174617875897255,0.7119487112442084,0.2880512887557915,360.0,1650.0,False,3760.0,0.0,0.9999999999999992,11,operational,81,0.3,0.5,4000.0
