R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,design_seed
0.9465023736148864,0.0534976263851135,0.3936961266706873,0.6063038733293127,360.0,800.0,False,3760.0,0.0,0.9999999999999992,01,operational,65,1,0
0.8657133988202631,0.1342866011797369,0.4620303153545394,0.5379696846454606,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,65,11,0
0.8932554188137792,0.1067445811862207,0.7435200389278338,0.2564799610721662,360.0,1070.0,False,3760.0,0.0,0.9999999999999992,00,operational,70,0,0
0.8827291306418931,0.1172708693581069,0.798560099408974,0.2014399005910259,360.0,1080.0,False,3760.0,0.0,0.9999999999999992,10,operational,70,10,0
0.885486030872011,0.1145139691279889,0.7435200389278338,0.2564799610721662,360.0,1180.0,False,3760.0,0.0,0.9999999999999992,01,operational,70,1,0
0.8098254920486445,0.1901745079513555,0.798560099408974,0.2014399005910259,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,70,11,0
0.8351648513700811,0.1648351486299188,0.5756928015894545,0.4243071984105455,360.0,1630.0,False,3760.0,0.0,0.9999999999999992,00,operational,75,0,0
0.822524895171651,0.177475104828349,0.5792606064845455,0.4207393935154545,360.0,1630.0,False,3760.0,0.0,0.9999999999999992,10,operational,75,10,0
0.8245672198771169,0.1754327801228831,0.5756928015894545,0.4243071984105455,360.0,1740.0,False,3760.0,0.0,0.9999999999999992,01,operational,75,1,0
0.7205261265682668,0.2794738734317332,0.5792606064845455,0.4207393935154545,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,75,11,0
0.8053447919148037,0.1946552080851963,0.7288298088817389,0.2711701911182611,250.0,1770.0,False,3760.0,0.0,0.9999999999999992,00,operational,80,0,0
0.7903945278496094,0.2096054721503906,0.7422938514281219,0.2577061485718782,250.0,1770.0,False,3760.0,0.0,0.9999999999999992,10,operational,80,10,0
0.7894753228460577,0.2105246771539423,0.7288298088817389,0.2711701911182611,250.0,1920.0,False,3760.0,0.0,0.9999999999999992,01,operational,80,1,0
0.6642786403417001,0.3357213596582998,0.7422938514281219,0.2577061485718782,250.0,,True,3760.0,1.0,0.7948081436189391,11,operational,80,11,0
0.9398632546993833,0.0601367453006167,0.4524583722399941,0.5475416277600059,360.0,740.0,False,3760.0,0.0,0.9999999999999992,00,operational,85,0,0
0.9360081827216508,0.0639918172783493,0.4607913436235544,0.5392086563764455,360.0,740.0,False,3760.0,0.0,0.9999999999999992,10,operational,85,10,0
0.9365217788408642,0.0634782211591358,0.4524583722399941,0.5475416277600059,360.0,780.0,False,3760.0,0.0,0.9999999999999992,01,operational,85,1,0
0.8599363987698987,0.1400636012301013,0.4607913436235544,0.5392086563764455,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,85,11,0
0.923705013632664,0.076294986367336,0.4967600881821702,0.5032399118178298,360.0,960.0,False,3760.0,0.0,0.9999999999999992,00,operational,90,0,0
0.9144050600279664,0.0855949399720337,0.5231000388134811,0.4768999611865189,360.0,970.0,False,3760.0,0.0,0.9999999999999992,10,operational,90,10,0
0.9144540345188812,0.0855459654811189,0.4967600881821702,0.5032399118178298,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,01,operational,90,1,0
0.8018040461963728,0.1981959538036272,0.5231000388134811,0.4768999611865189,360.0,,True,3760.0,1.0,0.8589868297628986,11,operational,90,11,0
0.862468120834024,0.1375318791659759,0.784055869700762,0.2159441302992379,360.0,1350.0,False,3760.0,0.0,0.9999999999999992,00,operational,95,0,0
0.8474249032952369,0.1525750967047631,0.861455552019067,0.138544447980933,360.0,1350.0,False,3760.0,0.0,0.9999999999999992,10,operational,95,10,0
0.8328326838615296,0.1671673161384703,0.784055869700762,0.2159441302992379,360.0,1460.0,False,3760.0,0.0,0.9999999999999992,01,operational,95,1,0
0.1080426190036461,0.8919573809963538,0.861455552019067,0.138544447980933,360.0,,True,3760.0,1.0,0.0734484579158179,11,operational,95,11,0
0.9013436980657528,0.0986563019342472,0.6916793730337041,0.3083206269662958,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,00,operational,1,0,0
0.8889067493786836,0.1110932506213163,0.8029932044514004,0.1970067955485995,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,10,operational,1,10,0
0.8940115498998127,0.1059884501001873,0.6916793730337041,0.3083206269662958,360.0,1210.0,False,3760.0,0.0,0.9999999999999992,01,operational,1,1,0
0.8820116431842648,0.1179883568157351,0.8029932044514004,0.1970067955485995,360.0,1220.0,False,3760.0,0.0,0.9999999999999992,11,operational,1,11,0
0.8996173074617629,0.100382692538237,0.5502983567530346,0.4497016432469653,360.0,1180.0,False,3760.0,0.0,0.9999999999999992,00,operational,6,0,0
0.8955856056666505,0.1044143943333495,0.5560237818783254,0.4439762181216747,360.0,1180.0,False,3760.0,0.0,0.9999999999999992,10,operational,6,10,0
0.8878110084836831,0.1121889915163169,0.5502983567530346,0.4497016432469653,360.0,1300.0,False,3760.0,0.0,0.9999999999999992,01,operational,6,1,0
0.818394184062081,0.181605815937919,0.5560237818783254,0.4439762181216747,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,6,11,0
0.895950916011368,0.104049083988632,0.7689836341543164,0.2310163658456836,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,00,operational,11,0,0
0.8777108153998079,0.1222891846001921,0.8929929453465918,0.1070070546534081,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,10,operational,11,10,0
0.883328473851061,0.116671526148939,0.7689836341543164,0.2310163658456836,360.0,1250.0,False,3760.0,0.0,0.9999999999999992,01,operational,11,1,0
0.7895538178963576,0.2104461821036424,0.8929929453465918,0.1070070546534081,360.0,1190.0,False,3760.0,0.0,0.9999999999999992,11,operational,11,11,0
0.874480777793111,0.125519222206889,0.5492435938229951,0.4507564061770048,360.0,1350.0,False,3760.0,0.0,0.9999999999999992,00,operational,16,0,0
0.8597599889116135,0.1402400110883864,0.57992985471253,0.4200701452874699,360.0,1350.0,False,3760.0,0.0,0.9999999999999992,10,operational,16,10,0
0.8608998814741314,0.1391001185258685,0.5492435938229951,0.4507564061770048,360.0,1500.0,False,3760.0,0.0,0.9999999999999992,01,operational,16,1,0
0.7865697157269704,0.2134302842730295,0.57992985471253,0.4200701452874699,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,16,11,0
0.8728144525380914,0.1271855474619085,0.8997218509745127,0.1002781490254872,360.0,1330.0,False,3760.0,0.0,0.9999999999999992,00,operational,21,0,0
0.8554846289138407,0.1445153710861593,0.9871666802652894,0.0128333197347105,360.0,1330.0,False,3760.0,0.0,0.9999999999999992,10,operational,21,10,0
0.8576652491041573,0.1423347508958427,0.8997218509745127,0.1002781490254872,360.0,1520.0,False,3760.0,0.0,0.9999999999999992,01,operational,21,1,0
0.0707009949721975,0.9292990050278024,0.9871666802652894,0.0128333197347105,360.0,,True,3760.0,1.0,0.0277696622622502,11,operational,21,11,0
0.8194971482061318,0.1805028517938681,0.5430057542442857,0.4569942457557143,360.0,1770.0,False,3760.0,0.0,0.9999999999999992,00,operational,26,0,0
0.8095982409043085,0.1904017590956914,0.5540859193204957,0.4459140806795044,360.0,1770.0,False,3760.0,0.0,0.9999999999999992,10,operational,26,10,0
0.7981958133299963,0.2018041866700036,0.5430057542442857,0.4569942457557143,360.0,1940.0,False,3760.0,0.0,0.9999999999999992,01,operational,26,1,0
0.7261830428705192,0.2738169571294808,0.5540859193204957,0.4459140806795044,360.0,,True,3760.0,1.0,0.8440980303790331,11,operational,26,11,0
0.9594567574535788,0.0405432425464211,0.3689314686936427,0.6310685313063573,360.0,640.0,False,3760.0,0.0,0.9999999999999992,00,operational,31,0,0
0.9577042610694052,0.0422957389305947,0.3838884906750023,0.6161115093249977,360.0,640.0,False,3760.0,0.0,0.9999999999999992,10,operational,31,10,0
0.959281795056364,0.0407182049436359,0.3689314686936427,0.6310685313063573,360.0,640.0,False,3760.0,0.0,0.9999999999999992,01,operational,31,1,0
