R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,seed_hazard,q_prop,kappa_prop,q_rec,kappa_rec,psi_prop,psi_rec,frac_damaged
0.8380348063041161,0.1619651936958839,0.5740315999686595,0.4259684000313405,360.0,1500.0,False,3760.0,0.0,0.9999999999999994,10,operational,13,13,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8367262346116936,0.1632737653883064,0.5626285018402096,0.4373714981597904,360.0,1650.0,False,3760.0,0.0,0.9999999999999994,01,operational,13,13,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.7662014060446464,0.23379859395535363,0.5740315999686595,0.4259684000313405,360.0,,True,3760.0,1.0,0.9057786114981471,11,operational,13,13,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8917696549620717,0.10823034503792828,0.7125152527094252,0.2874847472905748,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,14,14,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.8844863101163273,0.11551368988367272,0.7566486862132518,0.24335131378674818,360.0,1130.0,False,3760.0,0.0,0.9999999999999994,10,operational,14,14,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.8858493968544919,0.11415060314550807,0.7125152527094252,0.2874847472905748,360.0,1190.0,False,3760.0,0.0,0.9999999999999994,01,operational,14,14,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.8142853082295843,0.18571469177041566,0.7566486862132518,0.24335131378674818,360.0,,True,3760.0,1.0,0.9057786114981471,11,operational,14,14,0.5,0.8,0.5,0.8,0.4,0.4,0.3333333333333333
0.8861856690083021,0.11381433099169791,0.7088980432335827,0.29110195676641726,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,15,15,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.8769915664898665,0.12300843351013346,0.7728373713049209,0.22716262869507906,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,15,15,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.8752476123793052,0.12475238762069485,0.7088980432335827,0.29110195676641726,360.0,1210.0,False,3760.0,0.0,0.9999999999999994,01,operational,15,15,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.762394897369276,0.23760510263072399,0.7728373713049209,0.22716262869507906,360.0,,True,3760.0,1.0,0.8436664866008999,11,operational,15,15,0.5,0.8,0.5,0.8,0.4,0.4,0.3684210526315789
0.8744778118669994,0.12552218813300065,0.5490823425815679,0.4509176574184322,360.0,1350.0,False,3760.0,0.0,0.9999999999999994,00,operational,16,16,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.859757937069989,0.14024206293001096,0.579604529875441,0.420395470124559,360.0,1350.0,False,3760.0,0.0,0.9999999999999994,10,operational,16,16,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.860885598716639,0.13911440128336106,0.5490823425815679,0.4509176574184322,360.0,1500.0,False,3760.0,0.0,0.9999999999999994,01,operational,16,16,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.7863580786826025,0.21364192131739745,0.579604529875441,0.420395470124559,360.0,,True,3760.0,1.0,0.9057786114981471,11,operational,16,16,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.9712041806219583,0.028795819378041654,0.3555109319694124,0.6444890680305876,360.0,560.0,False,3760.0,0.0,0.9999999999999994,00,operational,17,17,0.5,0.8,0.5,0.8,0.4,0.4,0.17543859649122806
0.9502484621302597,0.04975153786974029,0.6169373243780374,0.3830626756219626,360.0,570.0,False,3760.0,0.0,0.9999999999999994,10,operational,17,17,0.5,0.8,0.5,0.8,0.4,0.4,0.17543859649122806
0.9701854079235093,0.02981459207649073,0.3555109319694124,0.6444890680305876,360.0,580.0,False,3760.0,0.0,0.9999999999999994,01,operational,17,17,0.5,0.8,0.5,0.8,0.4,0.4,0.17543859649122806
0.8175480372990335,0.18245196270096653,0.6169373243780374,0.3830626756219626,360.0,,True,3760.0,1.0,0.8436664866008999,11,operational,17,17,0.5,0.8,0.5,0.8,0.4,0.4,0.17543859649122806
0.8770658497635948,0.12293415023640519,0.5706689415400169,0.4293310584599831,290.0,1410.0,False,3760.0,0.0,0.9999999999999994,00,operational,18,18,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8552090979561695,0.1447909020438305,0.6679233210757667,0.33207667892423337,290.0,1410.0,False,3760.0,0.0,0.9999999999999994,10,operational,18,18,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8540965898470892,0.14590341015291075,0.5706689415400169,0.4293310584599831,290.0,1760.0,False,3760.0,0.0,0.9999999999999994,01,operational,18,18,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.779580271762848,0.22041972823715195,0.6679233210757667,0.33207667892423337,290.0,,True,3760.0,1.0,0.9057786114981471,11,operational,18,18,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.942184801458242,0.057815198541757984,0.43501622918451255,0.5649837708154875,360.0,790.0,False,3760.0,0.0,0.9999999999999994,00,operational,19,19,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9382705036575982,0.06172949634240177,0.4528715507357739,0.5471284492642261,360.0,790.0,False,3760.0,0.0,0.9999999999999994,10,operational,19,19,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9392757617689058,0.060724238231094185,0.43501622918451255,0.5649837708154875,360.0,830.0,False,3760.0,0.0,0.9999999999999994,01,operational,19,19,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9342700661283213,0.06572993387167869,0.4528715507357739,0.5471284492642261,360.0,860.0,False,3760.0,0.0,0.9999999999999994,11,operational,19,19,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9425481326045374,0.0574518673954626,0.41035954522894835,0.5896404547710516,360.0,810.0,False,3760.0,0.0,0.9999999999999994,00,operational,20,20,0.5,0.8,0.5,0.8,0.4,0.4,0.3157894736842105
0.9351320816125009,0.06486791838749906,0.43954397385145716,0.5604560261485428,360.0,820.0,False,3760.0,0.0,0.9999999999999994,10,operational,20,20,0.5,0.8,0.5,0.8,0.4,0.4,0.3157894736842105
0.9346420850597394,0.06535791494026055,0.41035954522894835,0.5896404547710516,360.0,930.0,False,3760.0,0.0,0.9999999999999994,01,operational,20,20,0.5,0.8,0.5,0.8,0.4,0.4,0.3157894736842105
0.8088347659987173,0.1911652340012827,0.43954397385145716,0.5604560261485428,360.0,,True,3760.0,1.0,0.8436664866008999,11,operational,20,20,0.5,0.8,0.5,0.8,0.4,0.4,0.3157894736842105
0.8728197674094468,0.12718023259055322,0.8990785174983276,0.10092148250167245,360.0,1330.0,False,3760.0,0.0,0.9999999999999994,00,operational,21,21,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.8554659081898944,0.14453409181010557,0.9872150132448537,0.012784986755146301,360.0,1330.0,False,3760.0,0.0,0.9999999999999994,10,operational,21,21,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.857664543319906,0.14233545668009395,0.8990785174983276,0.10092148250167245,360.0,1520.0,False,3760.0,0.0,0.9999999999999994,01,operational,21,21,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.07094830146907727,0.9290516985309227,0.9872150132448537,0.012784986755146301,360.0,,True,3760.0,1.0,0.028139963355691747,11,operational,21,21,0.5,0.8,0.5,0.8,0.4,0.4,0.49122807017543857
0.9436543975227144,0.056345602477285595,0.4358489164504895,0.5641510835495105,360.0,760.0,False,3760.0,0.0,0.9999999999999994,00,operational,22,22,0.5,0.8,0.5,0.8,0.4,0.4,0.2982456140350877
0.938036124336579,0.061963875663420986,0.4466606120014449,0.5533393879985551,360.0,770.0,False,3760.0,0.0,0.9999999999999994,10,operational,22,22,0.5,0.8,0.5,0.8,0.4,0.4,0.2982456140350877
0.9430284493273037,0.056971550672696325,0.4358489164504895,0.5641510835495105,360.0,790.0,False,3760.0,0.0,0.9999999999999994,01,operational,22,22,0.5,0.8,0.5,0.8,0.4,0.4,0.2982456140350877
0.9358524628851931,0.06414753711480692,0.4466606120014449,0.5533393879985551,360.0,810.0,False,3760.0,0.0,0.9999999999999994,11,operational,22,22,0.5,0.8,0.5,0.8,0.4,0.4,0.2982456140350877
0.9516079587364155,0.04839204126358454,0.38837677111925883,0.6116232288807412,360.0,720.0,False,3760.0,0.0,0.9999999999999994,00,operational,23,23,0.5,0.8,0.5,0.8,0.4,0.4,0.2631578947368421
0.9497538257570409,0.050246174242959074,0.3964222416290313,0.6035777583709687,360.0,720.0,False,3760.0,0.0,0.9999999999999994,10,operational,23,23,0.5,0.8,0.5,0.8,0.4,0.4,0.2631578947368421
0.9492106632961521,0.05078933670384789,0.38837677111925883,0.6116232288807412,360.0,770.0,False,3760.0,0.0,0.9999999999999994,01,operational,23,23,0.5,0.8,0.5,0.8,0.4,0.4,0.2631578947368421
0.9467561107466372,0.053243889253362764,0.3964222416290313,0.6035777583709687,360.0,780.0,False,3760.0,0.0,0.9999999999999994,11,operational,23,23,0.5,0.8,0.5,0.8,0.4,0.4,0.2631578947368421
0.9452341972992714,0.054765802700728616,0.3773492559373888,0.6226507440626112,360.0,830.0,False,3760.0,0.0,0.9999999999999994,00,operational,24,24,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9337011774009867,0.06629882259901332,0.4520908596428298,0.5479091403571702,360.0,830.0,False,3760.0,0.0,0.9999999999999994,10,operational,24,24,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9449100270833305,0.055089972916669505,0.3773492559373888,0.6226507440626112,360.0,830.0,False,3760.0,0.0,0.9999999999999994,01,operational,24,24,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
