R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check
0.9671956310499344,0.0328043689500656,0.7218436371002972,0.2781563628997028,360.0,2850.0,False,34760.0,0.0,0.9999999999999976,10,operational,182,10
0.9647148778194125,0.0352851221805875,0.7033598463964512,0.2966401536035487,360.0,4030.0,False,34760.0,0.0,0.9999999999999976,01,operational,182,1
0.8310741651322825,0.1689258348677175,0.7218436371002972,0.2781563628997028,360.0,,True,34760.0,1.0,0.8505201074724164,11,operational,182,11
0.9921672138438786,0.0078327861561213,0.299776422162981,0.7002235778370189,360.0,1400.0,False,34760.0,0.0,0.9999999999999976,00,operational,3,0
0.9908575343488514,0.0091424656511486,0.3652087288680494,0.6347912711319506,360.0,1400.0,False,34760.0,0.0,0.9999999999999976,10,operational,3,10
0.9915232981208532,0.0084767018791467,0.299776422162981,0.7002235778370189,360.0,1530.0,False,34760.0,0.0,0.9999999999999976,01,operational,3,1
0.9245077018842752,0.0754922981157246,0.3652087288680494,0.6347912711319506,360.0,,True,34760.0,1.0,0.93178126576305,11,operational,3,11
0.9880184698432468,0.0119815301567531,0.5024670943699803,0.4975329056300197,360.0,1620.0,False,34760.0,0.0,0.9999999999999976,00,operational,23,0
0.9876984031574364,0.0123015968425636,0.5310641753634073,0.4689358246365927,360.0,1620.0,False,34760.0,0.0,0.9999999999999976,10,operational,23,10
0.986504779835431,0.013495220164569,0.5024670943699803,0.4975329056300197,360.0,1890.0,False,34760.0,0.0,0.9999999999999976,01,operational,23,1
0.9861151203635656,0.0138848796364343,0.5310641753634073,0.4689358246365927,360.0,1870.0,False,34760.0,0.0,0.9999999999999976,11,operational,23,11
0.9818144787756674,0.0181855212243325,0.6368639088441097,0.3631360911558903,230.0,2190.0,False,34760.0,0.0,0.9999999999999976,00,operational,43,0
0.9805529884203849,0.0194470115796151,0.741812333363592,0.2581876666364079,230.0,2190.0,False,34760.0,0.0,0.9999999999999976,10,operational,43,10
0.9806054164746122,0.0193945835253878,0.6368639088441097,0.3631360911558903,230.0,2420.0,False,34760.0,0.0,0.9999999999999976,01,operational,43,1
0.9793559174930752,0.0206440825069248,0.741812333363592,0.2581876666364079,230.0,2440.0,False,34760.0,0.0,0.9999999999999976,11,operational,43,11
0.9084752989136956,0.0915247010863042,0.8513857787116225,0.1486142212883775,360.0,6390.0,False,34760.0,0.0,0.9999999999999976,00,operational,63,0
0.905592963965706,0.0944070360342941,0.8601019085639114,0.1398980914360885,360.0,6390.0,False,34760.0,0.0,0.9999999999999976,10,operational,63,10
0.8850572347729811,0.1149427652270188,0.8513857787116225,0.1486142212883775,360.0,8400.0,False,34760.0,0.0,0.9999999999999976,01,operational,63,1
0.8758799147797103,0.1241200852202897,0.8601019085639114,0.1398980914360885,360.0,7990.0,False,34760.0,0.0,0.9999999999999976,11,operational,63,11
0.9912596912945008,0.0087403087054992,0.3271768612414986,0.6728231387585014,360.0,1560.0,False,34760.0,0.0,0.9999999999999976,00,operational,83,0
0.9905533678332156,0.0094466321667845,0.3469851429027001,0.6530148570972999,360.0,1560.0,False,34760.0,0.0,0.9999999999999976,10,operational,83,10
0.991010227942792,0.008989772057208,0.3271768612414986,0.6728231387585014,360.0,1640.0,False,34760.0,0.0,0.9999999999999976,01,operational,83,1
0.9901874849408682,0.0098125150591318,0.3469851429027001,0.6530148570972999,360.0,1650.0,False,34760.0,0.0,0.9999999999999976,11,operational,83,11
0.9895691823738604,0.0104308176261397,0.3683988709721798,0.6316011290278202,360.0,1540.0,False,34760.0,0.0,0.9999999999999976,00,operational,103,0
0.9887122879294624,0.0112877120705375,0.403290524196955,0.596709475803045,360.0,1540.0,False,34760.0,0.0,0.9999999999999976,10,operational,103,10
0.9871844870835896,0.0128155129164103,0.3683988709721798,0.6316011290278202,360.0,1910.0,False,34760.0,0.0,0.9999999999999976,01,operational,103,1
0.9218979726972903,0.0781020273027095,0.403290524196955,0.596709475803045,360.0,,True,34760.0,1.0,0.9317812656734458,11,operational,103,11
0.9678168996772047,0.0321831003227951,0.6899855109112953,0.3100144890887046,360.0,2850.0,False,34760.0,0.0,0.9999999999999974,00,operational,123,0
0.9667373546484542,0.0332626453515457,0.6970279657129261,0.3029720342870738,360.0,2850.0,False,34760.0,0.0,0.9999999999999974,10,operational,123,10
0.9645689845772316,0.0354310154227685,0.6899855109112953,0.3100144890887046,360.0,3450.0,False,34760.0,0.0,0.9999999999999976,01,operational,123,1
0.8249187928723514,0.1750812071276486,0.6970279657129261,0.3029720342870738,360.0,,True,34760.0,1.0,0.8506156213344934,11,operational,123,11
0.9612004012742116,0.0387995987257883,0.6964738280328833,0.3035261719671168,360.0,3480.0,False,34760.0,0.0,0.9999999999999976,00,operational,143,0
0.9601942479732724,0.0398057520267275,0.7038676061965234,0.2961323938034765,360.0,3480.0,False,34760.0,0.0,0.9999999999999976,10,operational,143,10
0.9401479557681092,0.0598520442318907,0.6964738280328833,0.3035261719671168,360.0,4540.0,False,34760.0,0.0,0.9999999999999976,01,operational,143,1
0.0557657311111484,0.9442342688888516,0.7038676061965234,0.2961323938034765,360.0,,True,34760.0,1.0,0.0461443494733212,11,operational,143,11
0.9596382976447888,0.040361702355211,0.7707296768151248,0.2292703231848751,360.0,3600.0,False,34760.0,0.0,0.9999999999999976,00,operational,163,0
0.9577455245390132,0.0422544754609869,0.7952378572804135,0.2047621427195864,360.0,3600.0,False,34760.0,0.0,0.9999999999999976,10,operational,163,10
0.9542298242963934,0.0457701757036066,0.7707296768151248,0.2292703231848751,360.0,4960.0,False,34760.0,0.0,0.9999999999999976,01,operational,163,1
0.7807957894389713,0.2192042105610286,0.7952378572804135,0.2047621427195864,360.0,,True,34760.0,1.0,0.8087461958770292,11,operational,163,11
0.9524304380642108,0.0475695619357893,0.7509156147096673,0.2490843852903327,360.0,3900.0,False,34760.0,0.0,0.9999999999999976,00,operational,183,0
0.950952012489688,0.0490479875103121,0.7545697621727108,0.2454302378272893,360.0,3900.0,False,34760.0,0.0,0.9999999999999976,10,operational,183,10
0.9480811597888068,0.0519188402111933,0.7509156147096673,0.2490843852903327,360.0,5010.0,False,34760.0,0.0,0.9999999999999976,01,operational,183,1
0.8139587012609107,0.1860412987390892,0.7545697621727108,0.2454302378272893,360.0,,True,34760.0,1.0,0.8461534867332533,11,operational,183,11
0.9747858503574272,0.0252141496425727,0.6440110161619512,0.3559889838380487,360.0,2720.0,False,34760.0,0.0,0.9999999999999976,00,operational,4,0
