replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec
139,0.0018343180929968061,0.00020191248239010556,0.0023063461018050027,0.000270115526418091,0.0103716005701332,0.0,0.0103716005701332,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
140,0.006051652693150222,0.0021380837261933128,0.008679887883335513,0.000490151463991978,0.005205118825959476,0.0,0.005205118825959476,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
141,0.002105558025501504,0.00015663221037980068,0.002339885788705705,7.76955528244e-05,0.010471874027262185,0.0,0.010471874027262185,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
142,0.0016746343781343098,0.0018701731320514975,0.0036152987882273058,7.049127804149846e-05,0.003170887115505394,0.0,0.003170887115505394,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
143,0.004700155332908601,0.006631465658340802,0.01188608121083301,0.0005544602195836079,0.01689187216682997,0.0,0.01689187216682997,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
144,0.0007937906905162023,0.0009535953098502997,0.0018071968835494043,5.981088318290223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
146,0.001557510450866502,6.6755807208995765e-06,0.0015648668198543006,6.807882668991017e-07,0.017351258286684046,0.0,0.017351258286684046,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
147,0.0016594020182753993,2.8935343660198287e-05,0.0016911279474456989,2.790585510101251e-06,0.008109810169711518,0.0,0.008109810169711518,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
148,0.0055855719943642135,0.0023458501040451163,0.008139087507007425,0.00020766540859809557,0.001952774875670582,0.0,0.001952774875670582,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
149,0.003705526309760593,0.00022907619085969777,0.004082028673726895,0.00014742617310660455,0.04056679993431567,0.0,0.04056679993431567,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
150,0.002092948502137995,0.004513297706802102,0.006647379447815002,4.113323887490472e-05,0.024482801480184113,0.0,0.024482801480184113,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
151,0.0030594949401380883,0.0015848571290220936,0.0051872986576674,0.0005429465885072177,0.0046013224914742135,0.0,0.0046013224914742135,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
152,0.000844039443227404,0.001529865139890202,0.002405815731439803,3.1911148322197325e-05,0.005413843882747904,0.0,0.005413843882747904,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
153,0.00033035561053069984,6.40747923231974e-05,0.0003943013581042959,-1.2904474960134804e-07,0.0034610214340615175,0.0,0.0034610214340615175,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
154,0.005003105268329804,0.000627948059418397,0.0058398721706093976,0.000208818842861197,0.020394509057518273,0.0,0.020394509057518273,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
155,0.009730412254355301,0.0019433464301870998,0.013554792334187903,0.0018810336496455013,0.10737623668186824,0.0,0.10737623668186824,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
156,0.006567553612278593,0.011130583564321894,0.018906452317073497,0.0012083151404730097,0.028455211200641428,0.0,0.028455211200641428,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
158,0.003537898827357097,0.0,0.003537898827357097,0.0,0.0766990555215401,0.0,0.0766990555215401,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
159,0.002854520506804195,7.54009107399034e-05,0.0032947559047024066,0.00036483448715830813,0.01842939258793591,0.0,0.01842939258793591,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
160,0.005550973339849913,0.013873831095059713,0.020162625500629,0.000737821065719374,0.018868708492070896,0.0,0.018868708492070896,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
161,0.005303457176400794,0.00029700971570359447,0.0057124150487140035,0.00011194815660961477,-0.0009333291006783373,0.0,-0.0009333291006783373,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
162,0.002305018177876192,0.0009069338962948981,0.003373521105818497,0.0001615690316474072,0.00039562003919518807,0.0,0.00039562003919518807,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
163,0.0075868301625584555,0.00933044622020518,0.018036302284244354,0.0011190259014807191,0.021240965520401334,0.0,0.021240965520401334,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
164,0.004017674597287996,0.0020427924711588913,0.006887509223260993,0.000827042154814106,0.008117279618461981,0.0,0.008117279618461981,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
165,0.0011713589826064935,0.0018313653422508958,0.003032167034837302,2.9442709979912718e-05,0.0011229067619482613,0.0,0.0011229067619482613,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
166,0.008556713338160826,0.0015384203530590113,0.010521093190279107,0.00042595949905926966,0.023898316429114552,0.0,0.023898316429114552,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
167,0.0042357313060018,0.0004062280379488886,0.004790073387116386,0.00014811404316569798,0.029141070282615256,0.0,0.029141070282615256,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
168,0.0028028923041679976,0.0016946135328053946,0.00456719299283799,6.968715586459784e-05,0.018368642838983984,0.0,0.018368642838983984,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
169,0.0022915216048886855,0.001406645149215291,0.003925785354038397,0.00022761859993442046,0.0022106594101374277,0.0,0.0022106594101374277,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
170,0.004730987718247898,0.003167689983655797,0.008355019630082297,0.0004563419281786024,0.013803180709361262,0.0,0.013803180709361262,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
171,0.003908817758971395,0.002409227496799504,0.006545861888701196,0.0002278166329302972,0.004864377759228655,0.0,0.004864377759228655,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
172,0.0007861622057929035,0.0,0.0007861622057929035,0.0,0.0033278368165439165,0.0,0.0033278368165439165,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
173,0.00213125349676771,0.00017050101242931104,0.0023644411618568006,6.268665265977968e-05,0.004896420453879169,0.0,0.004896420453879169,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
174,0.0015921767598437025,0.0032125676910430973,0.0051012058072437,0.0002964613563569002,0.0023539448601888613,0.0,0.0023539448601888613,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
175,0.008124569713139074,0.01658485511908797,0.0258521196632,0.0011426948309729568,0.01506231841146699,0.0,0.01506231841146699,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
176,0.0011520038111401953,0.0006535810940389991,0.001839948560332899,3.436365515370465e-05,0.00713349750352793,0.0,0.00713349750352793,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
177,0.002311537177221712,0.0051515864001564216,0.007619124419311313,0.0001560008419331793,0.0008226502601291763,0.0,0.0008226502601291763,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
178,0.007110607960720106,0.002962846939850605,0.0116878514354576,0.0016143965348868888,0.043355832841109554,0.0,0.043355832841109554,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
179,0.0,8.556337937070183e-05,8.556337937070183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
180,0.0026214564354565956,0.004381090535018992,0.007059126511724592,5.6579541249004994e-05,0.021293072618800646,0.0,0.021293072618800646,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
181,0.003816002264103696,0.002698537115663202,0.007906257520490102,0.001391718140723204,0.04470518369139298,0.0,0.04470518369139298,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
182,0.004263340446391206,0.0027221935853735113,0.007474068361991215,0.0004885343302264977,0.0011149438143059909,0.0,0.0011149438143059909,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
183,0.005228603004070409,0.0068361422671135985,0.013644874182721006,0.0015801289115369987,0.007458499671734842,0.0,0.007458499671734842,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
184,0.006264495570130091,0.010190138254683095,0.01715699300569601,0.0007023591808828222,0.02708437714424594,0.0,0.02708437714424594,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
185,0.0012183849936587,5.596956327069691e-05,0.001323786560347498,4.943200341810117e-05,0.0011181291859543308,0.0,0.0011181291859543308,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
186,0.004384831061111691,0.00216788726318759,0.007254447941280995,0.0007017296169817139,0.006042282751433259,0.0,0.006042282751433259,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
187,0.0025169152053617083,0.00016909587324570596,0.0028539911126527068,0.0001679800340452925,4.144442887410449e-05,0.0,4.144442887410449e-05,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
188,0.007024056400179501,0.0031182869616996345,0.010478034823855398,0.0003356914619762619,0.02652753879402403,0.0,0.02652753879402403,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
189,0.007256980679849784,0.007252413060943902,0.01607835781115119,0.0015689640703575036,0.027755666973019455,0.0,0.027755666973019455,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
190,0.0012936377261301008,-5.753636269020812e-07,0.0012930681706517996,5.808148600960905e-09,0.01150063761912351,0.0,0.01150063761912351,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
191,0.0055574735717345974,0.0027367451028714046,0.009074432730761209,0.0007802140561552068,0.017224596043044715,0.0,0.017224596043044715,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
192,0.003742674748884095,4.563849836499573e-05,0.0038103004527663964,2.1987205517305652e-05,0.028026741386703635,0.0,0.028026741386703635,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
193,0.0006943038273583974,0.00011050085586129799,0.0008168904701257029,1.208578690600759e-05,0.0032488608639291705,0.0,0.0032488608639291705,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
194,0.002735760093989306,0.005318405579124802,0.008205433941956497,0.00015126826884238886,0.04018104783332632,0.0,0.04018104783332632,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
195,0.007425063700741613,0.00438277249858271,0.012687424526737406,0.0008795883274130833,0.005912808330772901,0.0,0.005912808330772901,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
196,0.0011222196043767924,0.0018369417259232884,0.0030074987571715867,4.8337426871505884e-05,2.8289978482032296e-07,0.0,2.8289978482032296e-07,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
197,0.004394572083672402,0.000398355873956098,0.0048607042464439,6.777628881540071e-05,0.022406841036176073,0.0,0.022406841036176073,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
198,0.004536126936427506,0.0002541685695121032,0.005083929923321004,0.0002936344173813943,0.021332510178909025,0.0,0.021332510178909025,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
199,0.0031123074125792016,0.00017139524630829794,0.003315776465778991,3.207380689149164e-05,0.006221112253028183,0.0,0.006221112253028183,0.0,0.0,0.0,0.0,0.0,False,0.35,0.4,0.35,0.4
0,0.003890681010998598,0.0010558320073286026,0.005979308557261795,0.0010327955389345944,0.004866298682692005,0.0,0.004866298682692005,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
1,0.010922093262611107,0.00020340704164981127,0.011932411253773006,0.000806910949512088,0.08712282426014772,0.0,0.08712282426014772,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
2,0.004494912645205323,0.00426368344832212,0.008898134170048616,0.0001395380765211729,0.025531832196098336,0.0,0.025531832196098336,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
3,0.0033988175063469073,0.003956515468892807,0.007621596559785698,0.00026626358454598376,0.00879846763675729,0.0,0.00879846763675729,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
4,0.0016391031662262023,0.0037480578595480013,0.005522653486538298,0.0001354924607640945,0.0008554742377133717,0.0,0.0008554742377133717,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
5,0.0022947354611830006,0.00023387312704870045,0.0031007282036131997,0.0005721196153814986,0.003983387677616801,0.0,0.003983387677616801,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
6,0.002081547891225999,0.01025033707126409,0.01361976438656469,0.0012878794240746005,0.0032332666136534183,0.0,0.0032332666136534183,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
7,0.001100471197055898,0.00015638048601519794,0.001526396144672898,0.00026954446160180195,0.008710513258873787,0.0,0.008710513258873787,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
8,0.0,5.470580746798348e-06,5.470580746798348e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
9,0.001589893404531001,0.0031993089538479014,0.005196691342319301,0.0004074889839403989,4.737089593920274e-07,0.0,4.737089593920274e-07,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
10,0.004071516947976694,0.003050097275662203,0.0076967909045066035,0.0005751766808677061,0.017322188304394415,0.0,0.017322188304394415,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
11,0.011630338344120306,6.741575417029688e-05,0.011758604286643298,6.085018835269573e-05,0.09126934885832705,0.0,0.09126934885832705,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
12,0.008395392983600397,0.0013465643787520937,0.010911451809703487,0.0011694944473509966,0.04607612263919303,0.0,0.04607612263919303,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
13,0.006635893889759409,0.004207788578606625,0.01309771890240441,0.0022540364340383756,0.005061369127426718,0.0,0.005061369127426718,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
14,0.004969839900632295,0.0016028205983358024,0.007452104390379993,0.0008794438914118963,0.02589575363335883,0.0,0.02589575363335883,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
15,0.0031410430834526992,0.0006843620860498001,0.004096416527321206,0.0002710113578187068,0.030211473532246957,0.0,0.030211473532246957,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
16,0.0053387077440368025,0.00030147380672909674,0.00570554637889481,6.536482812891098e-05,0.007881081979056237,0.0,0.007881081979056237,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
17,0.005638689498257101,2.778980522409949e-05,0.005763661887131396,9.718258365019536e-05,0.08522316475204522,0.0,0.08522316475204522,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
18,0.016498440450019608,0.015302201915520897,0.040698857031303104,0.0088982146657626,0.0787940726979226,0.0,0.0787940726979226,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
19,0.0027234915881352018,0.00011387958504540524,0.0028394571662745047,2.0859930938976756e-06,0.00948959558666429,0.0,0.00948959558666429,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
20,0.00034580657454810065,9.329836670379787e-05,0.00044287149027359696,3.7665490216984288e-06,0.0020146983978678867,0.0,0.0020146983978678867,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
21,0.010242517251303207,0.005123332675552095,0.024725324627668493,0.009359474700813192,0.05733988676788371,0.0,0.05733988676788371,0.0,0.0,0.0,0.0,0.0,False,0.35,0.6,0.35,0.6
