replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
37,0.0017782476414174991,0.004944224332578698,0.008042937758284997,0.0013204657842888004,0.007595187760479405,0.0,0.007595187760479405,0.0,0.0,250.0,320.0,70.0,0.0,250.0,320.0,70.0,0.0,0.0,0.0,0.0,False
38,0.006912004810525396,0.04722168061933188,0.060454164994797305,0.006320479564940029,0.005643182805158409,0.0,0.005643182805158409,0.0,0.0,1000.0,1020.0,20.0,0.0,1000.0,1020.0,20.0,0.0,0.0,0.0,0.0,False
39,0.0102742441980362,0.01349962966266971,0.08072664818131249,0.05695277432060658,0.048977401996710024,0.0,0.048977401996710024,0.0,0.0,480.0,,,0.0,480.0,3820.0,3340.0,0.0,0.0,1.0,1.0,True
40,0.002771206198421597,0.0010258416996226996,0.004919307368989302,0.0011222594709450057,0.023561861413974317,0.0,0.023561861413974317,0.0,0.0,50.0,100.0,50.0,0.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,False
41,0.0003498842320128065,0.009924831418880703,0.0104554231197109,0.00018070746881738986,0.003586017431665145,0.0,0.003586017431665145,0.0,0.0,320.0,320.0,0.0,0.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,False
42,0.0029618686099116,0.00884662312229341,0.05493400160463581,0.0431255098724308,0.0009014699534817261,0.0,0.0009014699534817261,0.0,0.0,310.0,,,0.0,310.0,4510.0,4200.0,0.0,0.0,1.0,1.0,True
43,0.0063074517764133,0.00604531150527661,0.012292806412961405,-5.99568687285057e-05,0.10494842451948228,0.0,0.10494842451948228,0.0,0.0,230.0,250.0,20.0,0.0,230.0,250.0,20.0,0.0,0.0,0.0,0.0,False
44,0.005278398786733807,0.0333902709019086,0.10495315150971382,0.06628448182107141,0.00810507986299569,0.0,0.00810507986299569,0.0,0.0,920.0,,,0.0,920.0,3270.0,2350.0,0.0,0.0,1.0,1.0,True
45,0.001402701672855805,0.007733302716912999,0.008904502910414502,-0.00023150147935430132,0.006276762145760784,0.0,0.006276762145760784,0.0,0.0,280.0,280.0,0.0,0.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,False
46,0.007481328424575995,0.026048776438081317,0.08735105895549841,0.0538209540928411,0.012728594927947867,0.0,0.012728594927947867,0.0,0.0,880.0,,,0.0,880.0,2990.0,2110.0,0.0,0.0,1.0,1.0,True
47,0.003402698743239299,0.018360782022447508,0.02394028740215011,0.002176806636463302,0.020373886669491137,1.1102230246251565e-16,0.020373886669491137,-1.1102230246251565e-16,0.0,550.0,290.0,-260.0,0.0,550.0,290.0,-260.0,0.0,0.0,0.0,0.0,False
48,0.009035270162695896,0.05018148196642791,0.08060050178083122,0.021383749651707418,0.009764056293658951,0.0,0.009764056293658951,0.0,0.0,1620.0,,,0.0,1620.0,2130.0,510.0,0.0,0.0,1.0,1.0,True
49,0.007625235591709689,0.04928529263422507,0.05359532729854191,-0.0033152009273928473,0.019618876120677364,0.0,0.019618876120677364,0.0,0.0,1520.0,1240.0,-280.0,0.0,1520.0,1240.0,-280.0,0.0,0.0,0.0,0.0,False
50,0.01395841622698811,0.0147088015605943,0.27856870511047455,0.24990148732289214,0.07498223707646168,0.0,0.07498223707646168,0.0,0.0,490.0,,,0.0,490.0,4460.0,3970.0,0.0,0.0,1.0,1.0,True
51,0.009851200628722204,0.033571031139834104,0.1093816889612338,0.0659594571926775,0.01991882879472695,0.0,0.01991882879472695,0.0,0.0,720.0,,,0.0,720.0,4210.0,3490.0,0.0,0.0,1.0,1.0,True
52,0.013663445783839712,0.03418573444163461,0.05506548460511382,0.007216304379639493,0.07612712236359243,0.0,0.07612712236359243,0.0,0.0,890.0,640.0,-250.0,0.0,890.0,640.0,-250.0,0.0,0.0,0.0,0.0,False
