R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,loss_T1750,loss_T3500,loss_T5250,loss_T7000,loss_T8750,loss_T10500,loss_T12250,loss_T14000
0.9523096493906332,0.0476903506093668,0.7243442082804799,0.2756557917195201,280.0,1640.0,False,13760.0,0.0,0.9999999999999992,01,operational,120,1,0.3785125109020009,0.1907614024374658,0.127174268291644,0.0953807012187332,0.0763045609749866,0.0635871341458221,0.0545032578392764,0.0476903506093668
0.8013710738864824,0.1986289261135175,0.815592442522339,0.184407557477661,280.0,,True,13760.0,1.0,0.8435994411819693,11,operational,120,11,0.4942086323070859,0.325314027999978,0.2690095382726621,0.2408572934090043,0.2239659464908097,0.2127050485453465,0.2046615500128729,0.1986289261135175
0.9756591574017814,0.0243408425982185,0.5914317143281351,0.4085682856718648,360.0,970.0,False,13760.0,0.0,0.9999999999999992,00,operational,150,0,0.1947267407857446,0.0973633703928726,0.0649089135952485,0.0486816851964366,0.0389453481571493,0.0324544567976246,0.0278181058265355,0.0243408425982185
0.9725674336309168,0.0274325663690833,0.6806615141200465,0.3193384858799534,360.0,980.0,False,13760.0,0.0,0.9999999999999992,10,operational,150,10,0.2194605309526632,0.1097302654763319,0.0731535103175545,0.0548651327381661,0.0438921061905329,0.0365767551587774,0.0313515044218095,0.0274325663690833
0.9721122203580786,0.0278877796419213,0.5914317143281351,0.4085682856718648,360.0,1100.0,False,13760.0,0.0,0.9999999999999992,01,operational,150,1,0.2231022371352962,0.1115511185676836,0.0743674123784557,0.055775559283842,0.0446204474270737,0.0371837061892282,0.0318717481621957,0.0278877796419213
0.8259746851002953,0.1740253148997047,0.6806615141200465,0.3193384858799534,360.0,,True,13760.0,1.0,0.8435994411819693,11,operational,150,11,0.297398607471422,0.2268995831447264,0.2033999083691612,0.1916500709813785,0.1846001685487089,0.1799002335935959,0.1765431371970867,0.1740253148997047
0.9698487626481735,0.0301512373518263,0.5850051570326826,0.4149948429673173,360.0,1230.0,False,13760.0,0.0,0.9999999999999992,00,operational,180,0,0.2412098987454385,0.1206049494073037,0.0804032996048692,0.0603024747036521,0.0482419797629217,0.0402016498024347,0.0344585569735158,0.0301512373518263
0.966261341762416,0.0337386582375839,0.6541216695605305,0.3458783304394695,360.0,1240.0,False,13760.0,0.0,0.9999999999999992,10,operational,180,10,0.2699092658254786,0.1349546329503339,0.089969755300223,0.0674773164751671,0.0539818531801338,0.0449848776501118,0.0385584665572387,0.0337386582375839
0.9607343654881504,0.0392656345118497,0.5850051570326826,0.4149948429673173,360.0,1540.0,False,13760.0,0.0,0.9999999999999992,01,operational,180,1,0.3136991975536647,0.1570625380473977,0.1047083586982653,0.0785312690236991,0.0628250152189592,0.052354179349133,0.0448750108706854,0.0392656345118497
0.8156069218178189,0.1843930781821811,0.6541216695605305,0.3458783304394695,360.0,,True,13760.0,1.0,0.8435994411819693,11,operational,180,11,0.3803407134901184,0.2683706362746315,0.2310472771224313,0.2123855975463311,0.2011885898006712,0.1937239179702311,0.1883920095199168,0.1843930781821811
